id	label	text
32676	0	"""Não é lícito ao Estado laico violentar barbaramente a fé de milhões de pessoas, promovendo, com o dinheiro dos contribuintes, o evento blasfemo que ocorrerá no dia 14 de março, com o lançamento da ópera-rock 'Jesus Cristo Superstar'"", diz o texto."
32221	0	Nesta quinta-feira (23), a Justiça Eleitoral no Estado fez um novo pedido, para incluir também outras 11 cidades do interior do Estado
30967	0	Em uma semana forçaram a redução dos valores das tarifas de transporte em quase todas as capitais brasileiras.
32176	0	Greenhalg disse que a promotoria vai aguardar uma decisão do Conselho Especial de Magistratura do Tribunal de Justiça do Distrito Federal e Territórios sobre o caso.
30760	0	O banho de sol diário é isolado.
30462	0	"""Não sabemos se os invasores iam cometer alguma vingança ou tentar a retirada de algum ferido."
33204	0	A tragédia que afetou cidades de Minas Gerais e do Espírito Santo foi provocada pelo rompimento de duas barragens de contenção de rejeitos oriundos da exploração mineral no município de Mariana (a 124 km de Belo Horizonte), no interior de Minas.
30842	1	Os servidores do Arquivo (400 no Rio de Janeiro e 50 em Brasília) começaram a greve na última terça-feira, em protesto contra a falta de um plano de carreira para a categoria.
30748	1	Os servidores do Piauí estão em greve há 17 dias.
30098	0	Foto aérea do cruzamento de acesso a PF que prefeito publicou m seu perfil/Reprodução Discórdia.
31619	0	Silva ainda teria oferecido emprego e dinheiro aos desempregados Paulo José dos Santos, 21, e Glaydson Sérgio Cavalcanti Rodrigues, 22, presos desde o dia 13, para que executassem o crime.
31244	0	"A promessa de reforma agrária ampla está muito ligada à imagem de Lula e de Rossetto [Miguel Rossetto, ministro do Desenvolvimento Agrário]"", disse Casaldáliga."
32256	0	Foi um comercial corriqueiro, daqueles no qual um político simula enfrentar os problemas sob a sua alçada.
30965	0	É uma nova experiência mobilizatória.
30789	0	Há até um cartaz que mostra nazistas, ianques e judeus como uma coisa só.
30828	0	A criança, no entanto, sofreu queimaduras na perna.
30174	0	"""Apenas 30% do Rio São Francisco irá para o consumo humano e a outra porcentagem será destinada ao abastecimento das grandes empresas"", frisou o presidente da OAB/AL."
32673	0	"O calo apertou no pé de grupos católicos de São Paulo, onde nova montagem estreia no dia 14, no teatro do ""Instituto Tomie Ohtake , com direção de Jorge Takla."
33178	0	"""Confesso que inicialmente interpretei como atitude de confronto contra a escola"", disse o diretor."
30051	1	Instalado às margens da rodovia que dá acesso à cidade de Euclides da Cunha Paulista, no extremo oeste do Estado, este é o sétimo acampamento criado pelo MST na região em menos de dois meses.
32258	0	Encenar uma armação num cenário real é um clichê que, de tão reiterado, ficou inócuo.
30847	0	"""A Assan participou desde o começo pela abertura dos arquivos da ditadura que estão no Arquivo"", disse Maria Rita"
33093	0	"""Estamos fazendo uma sacrifício muito grande, mas não podíamos deixar a cidade parada."
31467	0	No Piauí, as associações e sindicatos que representam os policiais militares em todo o Estado convocaram para sábado uma assembléia que pode definir o aquartelamento de parte da tropa como forma de pressionar o governo.
32685	0	"Segundo Fábia Johansen, 27, membro da Devotos de Fátima e assessora da instituição e da Sagrado Coração de Jesus, a peça ""ofende a imagem de Cristo porque apresenta uma versão da história a partir do ponto de vista de Judas e tem coreografias com mulheres seminuas""."
32016	0	Os juros incidem na diferença entre o que foi pago e o valor total cobrado.
31461	0	A Associação dos Cabos e Soldados da PM de Tocantins afirma que, durante a última campanha eleitoral, o governo teria prometido aumento salarial de 47%, financiamento da casa própria e realização de promoções atrasadas.
32698	0	Os religiosos também têm seus questionamentos.
33040	0	O imóvel de oito andares está localizado na avenida Venezuela, no centro do Rio.
31469	0	Os cerca de 3.100 soldados e cabos do Estado vão reivindicar o pagamento em dia, mudanças na lei de remuneração e a promoção de cursos nos quartéis.
31239	0	Segundo o Núcleo de Estudos, Pesquisas e Projetos de Reforma Agrária da Unesp (Universidade Estadual Paulista), o MST foi responsável por 243 invasões realizadas durante o ano passado.
33302	0	Dentre as demandas da federação estão a reposição de empregados por meio de concurso público, reformulações da política e gestão de segurança, meio ambiente e saúde, continuidade de grandes obras da companhia e a revisão do plano de desinvestimentos da companhia.
31601	0	"O valor foi considerado tanto pela prefeita Marta Suplicy (PT) quanto pelo novo secretário municipal dos Transportes, Jilmar Tatto, ""assustador"" e um ""delírio""."
33216	0	"Ela destacou ainda que, no momento, ""nada indica"" que a lama chegará a Abrolhos, banco de corais localizado a cerca de 250km da foz do rio."
31072	0	As guerras culturais no Brasil seguem a todo vapor.
33215	0	"Já tinha um quadro grave e agora um quadro crítico."""
31522	0	Segunda a Polícia Rodoviária Federal, o caminhão ficou parado na pista enquanto o motorista era assaltado.
30050	1	O Movimento dos Sem-Terra (MST) montou hoje mais um acampamento no Pontal do Paranapanema - a região de São Paulo que apresenta maiores tensões na área da reforma agrária.
30078	0	A polícia não conseguiu identificar os autores e ninguém foi preso.
33199	1	""", e decidiram ir às aulas e passar o dia de saia."
33191	0	"A atitude do meu filho é um reflexo do movimento que discute a indumentária por gênero."""
32163	1	07/11/2001 - 09h39 Julgamento de acusados de matar pataxó entra no segundo dia Publicidade da Folha Online Entrou hoje no segundo dia o julgamento dos quatro acusados de matarem o índio pataxó Galdino Jesus dos Santos, em abril de 97, em Brasília.
30383	0	Ele afirmou ter contratado consultoria do Hospital Sírio Libanês para melhorar o funcionamento da rede.
31921	0	O ministro Moreira Franco (Minas e Energia) disse que o titular definitivo deve ser escolhido ainda nesta sexta-feira (1º) pelo presidente Michel Temer.
30467	0	Era Enéas Manoel Paixão, de 31 anos, atingido de raspão no pescoço.
31465	0	O piso salarial bruto é de R$ 560.
30047	0	O pastor foi a última pessoa vista com Lucas, no dia 21 de março.
30763	0	Não há nenhuma relação com a Polícia Civil, corporação que o sequestrador disse temer depois de ter assassinado dois investigadores em Barueri, na Grande São Paulo.
33081	1	Motoristas e cobradores de ônibus de Salvador decidiram no início da tarde desta quarta-feira (28) encerrar a greve da categoria em curso desde terça, após acordo com as empresas.
30963	0	Não é possível definir como será esta terceira onda de mobilizações da história nacional, ela se apresenta muito mais espontânea que as precedentes.
32647	0	Os sem-terra não cumpriram a determinação da juíza Luciane Amaral Corrêa, da 8ª Vara Federal, que havia dado prazo até o meio-dia de hoje para a desocupação.
30129	0	A defesa quer esgotar todos os recursos no processo.
32201	1	O PM é rival de Cid desde a greve da corporação que liderou no Estado em 2011.
