id	label	text
66133	0	He had also made headlines for kidnapping his 13-year-old brother and taking him to Syria.
62058	0	8:15 p.m.
66742	0	Usually, it takes eight to nine months.
71549	0	Terming the situation pathetic, Jairam said he would take it up with the CM especially since the MGNREGA was originally meant to encourage the participation of women in the rural areas.
83223	0	'The freedom of the press depends on the right of people to speak to the media in confidence,' Gopsill said.
84641	0	19 Oct 2016 As controversial as it was, chief executive Donald Tsang’s policy address last month did actually present a novel plan that may bear fruit—his plan to conserve Central district as a whole is a break from the usual government actions to conserve only particular buildings and structures, and an idea activists have been promoting for a long time.
68954	1	In the aftermath of the revolution, women who had joined men on the streets to protest were subjected to violent attacks and arrests.
64283	0	His compatriot Manish Sisodiya also came under fire.
84834	0	Purandeswari, who on Tuesday said when it was certain that Telangana would be a reality there was no point in demanding something that was not going to be delivered, reiterated her new stance on Wednesday.
74659	1	Their cameras were snatched by the lawyers who abused them, objecting to the media presence.
80160	0	The next morning, Chen says, his badly battered mother returned to home to break the news.
65263	0	They were arrested in connection with a case of criminal intimidation.
77520	0	Mlangeni said reports of chaos at many train stations around the country were exaggerated.
63689	1	"We also demand the DySP change his statement in which he has said that students hurled stones at police,"" said a student, who was speaking on behalf of the rest."
67344	0	The ninja terrorists are also seen firing AK-47 rifles, first from the shoulder, then the waist, then while kneeling, and finally sitting and lying on the ground.
85232	0	Additional reporting by Luna Lin
70911	0	Tsang’s plan, however, has one major flaw—while the conservation area he proposed extends as far south and west of Central as the Hollywood Road Police Quarters, he has put almost no emphasis on a very important venue from our history—Edinburgh Place.
69922	0	The efforts of protesters are now frenzied, they are using metal shields and poles, tirelessly pounding into the building.
66761	0	They let us stay for four years, unconditionally.
77938	0	The UK had been privately pressing for the legislation to be dropped altogether.
63140	0	The state of emergency allows state authorities to forbid the movement of persons and vehicles at specific times and places.
80623	1	Mr Chiu survived the reign of terror in India's financial heart, which saw more than 170 killed and the city held hostage for 60 hours by extremists as the world watched in horror.
65079	0	Patna Senior Superintendent of Police Manu Maharaj said additional security forces have been deployed.
66645	0	Fears were that thousands of students, who are writing their National Senior Certificate (matric) exams, could fail to arrive on time.
65572	1	Troops of the new Congolese army, which is still being formed after the war that ravaged the vast country from 1998 to 2003, stood guard over the main Supreme Court building, which was partly looted and burned by the rioters.
62015	0	Much has changed since 1997.
82284	0	“We all hope Hong Kong can be prosperous and stable,” said a young man wearing glasses and a red polo shirt.
74544	0	Till a few weeks ago, the BJP was singing a chorus for civil rights groups and the regional parties.
63289	1	04th March 2011 05:57 AM The DGM of Powmex Steels was burnt alive in the vehicle on Thursday afternoon.
79496	0	In New York on Friday, stocks fell as investors dealt with disappointing earnings in the consumer sector and rising oil prices.
80705	0	The inability of opposition parliamentarians to run in the poll followed a decision by the country's electoral commission to bar opposition parties from standing because they were unable to meet strict criteria under a new election law to field candidates.
63471	0	We consider snakes as our brothers.
69266	1	China came in for particular criticism in the report, which observed: “China has increased its repression over the past year to the worst levels since the 1989 massacre of protesters from the Tiananmen Square democracy movement.
85095	0	Anson Chan, the former head of the civil service under Chris Patten, and Jimmy Lai, a prominent businessman, fall into this category, and so do some of the Democrats.
78660	0	All have only the tricolour.
73610	0	Chinatown’s most famous coffee shop, Kopi Tak Kie, opened in 1927, continues to bustle in the food market nearby.
64494	0	From being “subdued and reactionary”, Indian foreign policy has “course corrected” to proactively taking a regional leadership role after the Modi government took over, believes the GTF official.
77864	0	"""It is the power to run local affairs as authorised by the central leadership."""
72419	0	Fabius ran against Royal for the presidential nomination in 2007.
82474	1	Pro-democracy protesters have attempted to storm the Legislative Council building in Hong Kong during a day when huge protests are expected across the city.
69157	0	10:00 p.m. Syria's military has confirmed a 48-hour cease-fire in the northern city of Aleppo after U.S. officials announced an agreement had been reached with Russia.
67492	0	Malhotra alleged that the former Delhi Chief Minister was himself hatching conspiracy to get media attention and some sympathy.
80289	1	Striking mine workers at Impala Platinum (Implats) mine near Rustenburg braved the hot morning sun on Tuesday to wait for ANC Youth League president Julius Malema.
68607	0	Kashgar was once the capital of the powerful Turkic Kara-Khanid Khanate in the 10th century, and today only two crooked plaques lying sadly at the site confirmed their past glories as provincial-level heritage.
71635	0	'It would be difficult to persuade Beijing to agree to speed up the pace of democratisation even if the parties manage to reach a consensus.' The government plans to launch a public consultation for post-2007 constitutional development as early as next year.
66341	0	Thursday brought a mixed slate of economic news.
63178	0	Another five people, arrested on Monday night, would appear in the same court on Wednesday, she said.
61808	0	"There is no basis in it at all,"" Tsang said."
77212	0	So far, Afrikaners have reacted by emigrating or withdrawing into their own private world.
68081	0	These institutions and practices are now under mounting threat.
76571	0	The left-led government is trying to overhaul the country's ailing pension system by increasing social security contributions to avoid pension cuts, but critics say the reforms will lead many to lose two-thirds of their income.
82282	0	It warned that the UK outlook was ‘uncertain’, and said it suffered from volatile demand in July and softer market conditions in August and September.
84757	0	By Technology Writer Brandon Bailey.
66704	1	One month earlier, on 9 June, the world watched as one million people took to the streets in Hong Kong to march against the bill.
68233	0	The militants mostly kidnap foreign workers and they say they are fighting for the liberation of two of their leaders imprisoned on corruption and treason charges, and more oil revenues for their impoverished lands.
60183	0	But for years it has been a tradition among the pro-democracy camp, which has never held a majority in parliament, to add small acts of defiance during the swearing-in ceremony.
72585	0	Last month Guaidó declared himself Venezuela’s legitimate interim president, a move recognised by Washington and others.
69348	0	Foreign Secretary Nirupama Rao had told News X that such a meeting would be a new opportunity.
83571	0	Earlier SA Communist Party secretary general Blade Nzimande briefed the crowd on what had happened inside the court and reaffirmed his support for Zuma.
60037	1	“It’s a time for demonstration instead of celebration,” says Joshua Wong, the leading light of Hong Kong’s youth protest movement.
78014	1	Using a park near the Hong Kong government headquarters as a base, the protesters have blocked many of the city’s main thoroughfares, forcing authorities to divert about 80 bus routes.
79562	0	In exactly one hour, I will be addressing the entire nation of the measures that we are going to take.
76740	0	“Hong Kong has changed a lot [since the protests].
74870	1	In 2009, a Belfast civil jury found Daly and three other Real IRA figures responsible for the bombing and ordered them to pay 1.6 million pounds (about $2.5 million) in damages, a judgment upheld on appeal in 2013.
78417	0	Though there are specific routes like Daspalla Hills, Pandurangapuram temple and APIIC grounds, police permitted people only from the APIIC grounds route.
67371	0	I hope Hong Kong can have a political icon like Jeremy Corbyn one day.
66303	1	"Police said Mckesson ""intentionally"" placed himself in the road after protesters were repeatedly warned to remain on private property or the curb."
63417	1	His case joins a string of failed prosecutions against the alleged Real IRA figures long blamed for the deadliest single bombing of the entire Northern Ireland conflict.
80541	1	South Africa is still negotiating the release of one of its citizens kidnapped in the Niger Delta, the foreign affairs department said on Monday.
72364	0	The serial dog killer video which surfaced on social media platforms sparked national outrage demanding strict action against such elements for animal cruelty.
65976	1	Warri residents fear the latest surge in violence could lead to a return to the dark days of 2003, when clashes between soldiers and rival ethnic gangs in and around the city left hundreds dead and thousands homeless.
81326	0	Others believed the country’s embrace of capitalism would inexorably lead to greater political freedom, even if it came slowly.
73708	0	And a visibly upset minister fumed to reporters, “This is a big failure.
